step,epoch,P_sink,drift_pct
1,0.0,16056250000.0,-563.4183
51,0.10666666666666667,18891500000.0,-7.68945
101,0.22,18392000000.0,0.5875750000000001
151,0.3333333333333333,17880750000.0,-2.2426000000000004
201,0.44,17072750000.0,-0.06355
251,0.5533333333333333,17289250000.0,-0.065475
301,0.6666666666666666,17485250000.0,0.17494999999999997
351,0.7733333333333333,17001000000.0,0.14585
401,0.8866666666666667,17103750000.0,1.360875
451,1.0,18214500000.0,0.07020000000000001
501,1.0,18529500000.0,0.46592500000000003
551,1.0866666666666667,17634250000.0,-2.387625
